n_gelesen,p_ad_gelesen,n_nicht,p_ad_nicht,rd,rd_lo,rd_hi,variante,merkmal,herkunft,fenster_s,leseart
574,77.70034843205575,566,62.19081272084806,15.50953571120769,10.260169118628088,20.75890230378729,weit@10min,sig_endzeile,mitgebracht,600,weit
544,51.28676470588235,596,43.624161073825505,7.662603632056847,1.875135323388493,13.4500719407252,weit@10min,please_relay,mitgebracht,600,weit
266,56.390977443609025,874,58.81006864988558,-2.419091206276558,-9.213410794650843,4.375228382097728,eng@10min,runde,erfunden,600,eng
285,50.175438596491226,855,49.122807017543856,1.0526315789473717,-5.650138145774814,7.755401303669557,eng@10min,cohort,erfunden,600,eng
291,58.075601374570454,849,55.47703180212014,2.5985695724503155,-3.9831399523411206,9.180279097241751,eng@10min,meldeformat,erfunden,600,eng
298,75.83892617449665,842,67.93349168646081,7.905434488035834,2.1123208330969327,13.698548142974737,eng@10min,sig_endzeile,mitgebracht,600,eng
284,47.53521126760563,856,47.19626168224299,0.3389495853626412,-6.3632195607057795,7.041118731431062,eng@10min,please_relay,mitgebracht,600,eng
273,55.67765567765568,867,59.05420991926182,-3.3765542416061445,-10.117467349993364,3.3643588667810755,weit_fremd@10min,runde,erfunden,600,weit_fremd
297,48.148148148148145,843,49.8220640569395,-1.6739159087913569,-8.28336700214966,4.935535184566947,weit_fremd@10min,cohort,erfunden,600,weit_fremd
303,55.775577557755774,837,56.272401433691755,-0.4968238759359811,-7.021177248868948,6.027529496996986,weit_fremd@10min,meldeformat,erfunden,600,weit_fremd
314,74.84076433121018,826,68.15980629539952,6.680958035810669,0.9250952266201123,12.436820845001225,weit_fremd@10min,sig_endzeile,mitgebracht,600,weit_fremd
300,47.66666666666667,840,47.14285714285714,0.5238095238095264,-6.059473502721188,7.107092550340241,weit_fremd@10min,please_relay,mitgebracht,600,weit_fremd
249,54.61847389558233,891,59.25925925925925,-4.640785363676924,-11.615772687833482,2.334201960479633,eng_fremd@10min,runde,erfunden,600,eng_fremd
268,48.134328358208954,872,49.77064220183486,-1.6363138436259084,-8.477326683507416,5.204698996255599,eng_fremd@10min,cohort,erfunden,600,eng_fremd
274,56.20437956204379,866,56.12009237875289,0.08428718329090978,-6.656284238807577,6.824858605389396,eng_fremd@10min,meldeformat,erfunden,600,eng_fremd
281,75.08896797153025,859,68.33527357392316,6.753694397607091,0.816565062044887,12.690823733169292,eng_fremd@10min,sig_endzeile,mitgebracht,600,eng_fremd
268,46.64179104477612,872,47.477064220183486,-0.8352731754073639,-7.666077232749707,5.99553088193498,eng_fremd@10min,please_relay,mitgebracht,600,eng_fremd
549,70.12750455373407,591,47.20812182741117,22.919382726322894,17.364331000378215,28.474434452267577,weit@1h,runde,erfunden,3600,weit
585,53.504273504273506,555,45.04504504504504,8.459228459228457,2.6738142963446907,14.244642622112224,weit@1h,cohort,erfunden,3600,weit
594,61.95286195286195,546,49.81684981684982,12.13601213601213,6.405928105854383,17.86609616616988,weit@1h,meldeformat,erfunden,3600,weit
