datensatz,mass,fenster_min,methode,n,r,p,ci_lo,ci_hi
mit_Ereignissen_ABC,load_labels,60,spearman,281,0.2684607958123917,5.01344819866775e-06,0.15484351936732638,0.372134923149594
mit_Ereignissen_ABC,load_labels,60,pearson,281,0.2322007365945757,8.53440266598467e-05,0.12047280820447512,0.34204095269909723
mit_Ereignissen_ABC|partiell_ldw,load_labels,60,spearman,281,0.1682868847383172,0.004674791950788167,0.048058277398097204,0.2835263860168582
mit_Ereignissen_ABC,load_ip,60,spearman,281,0.27382817870948095,3.1761038301772405e-06,0.15197667239382628,0.3881570069307779
mit_Ereignissen_ABC,load_ip,60,pearson,281,0.2512037425074699,2.0379790458647796e-05,0.12483564531706239,0.36814640567587625
mit_Ereignissen_ABC|partiell_ldw,load_ip,60,spearman,281,0.12842002845353812,0.031394631974822645,0.011048088564576664,0.24116623762189188
mit_Ereignissen_ABC,load_events,60,spearman,281,0.2514984277302807,1.991391930544511e-05,0.12982427394385865,0.3655511826001104
mit_Ereignissen_ABC,load_events,60,pearson,281,0.2159439517610428,0.00026545878367443203,0.09555309737650648,0.3325444309985036
mit_Ereignissen_ABC|partiell_ldw,load_events,60,spearman,281,0.10141323903267009,0.08973540986548881,-0.017748051476971668,0.2185182494913332
streng_AB_fp,load_revs,5,spearman,26,0.09847837381063328,0.6322136720974322,-0.41042874239588617,0.5468828407681274
streng_AB_fp,load_revs,5,pearson,26,-0.08678526222726954,0.6733512830526001,-0.45852917528911247,0.34367107170492406
streng_AB_fp|partiell_ldw,load_revs,5,spearman,26,0.002393162393162393,0.9907426616477358,-0.4572772869763465,0.4715249114732213
streng_AB_fp,load_bytes,5,spearman,26,0.03931623931623932,0.8487699839770572,-0.4036658834369852,0.5063940207239098
streng_AB_fp,load_bytes,5,pearson,26,-0.18469410212375412,0.3663945184983039,-0.5241286338226817,0.26980161145854054
streng_AB_fp|partiell_ldw,load_bytes,5,spearman,26,-0.034529914529914524,0.8670089011429889,-0.4656918402260598,0.41205329214497677
streng_AB_fp,load_labels,5,spearman,26,0.05163275849099175,0.8022045296918883,-0.4479550078604903,0.50655841883775
streng_AB_fp,load_labels,5,pearson,26,-0.08793592978990318,0.6692598694626113,-0.46607362172342404,0.33869941254787106
streng_AB_fp|partiell_ldw,load_labels,5,spearman,26,-0.034529914529914524,0.8670089011429889,-0.48866182259270097,0.43349510381272743
streng_AB_fp,load_ip,5,spearman,26,0.1002052042185203,0.6262241515092997,-0.41273945761953257,0.551182864427393
streng_AB_fp,load_ip,5,pearson,26,-0.01784046391729392,0.9310677296323676,-0.4553416357572212,0.41472194629750936
streng_AB_fp|partiell_ldw,load_ip,5,spearman,26,0.032478632478632474,0.8748464667916028,-0.42786902095861706,0.4907086146532916
streng_AB_fp,load_events,5,spearman,26,0.12104633447557007,0.5558378974531224,-0.3766690466044399,0.5548925704860047
streng_AB_fp,load_events,5,pearson,26,-0.06514173647960778,0.7518818332685288,-0.442292568018365,0.35120843174032423
streng_AB_fp|partiell_ldw,load_events,5,spearman,26,0.016752136752136753,0.9352638960729228,-0.4372346446074004,0.46680094900047925
streng_AB_fp,load_revs,15,spearman,26,0.12068376068376069,0.5570308332419983,-0.38935350641938066,0.5536947916138546
streng_AB_fp,load_revs,15,pearson,26,-0.03360124197533208,0.8705557144670806,-0.44662541292469726,0.38929185545058087
