label,n_paare,factor,ldw,ldt,datensatz
OpenAIMay31Maids,2,3.610837166375957,7.88767216101665,8.456326615364267,nur_A
OpenAIResearcherApr20,1,0.28909090909090907,6.309918278226516,5.0689042022202315,nur_A
OpenAIWatcherOct30,1,3.143049062281692,9.831400613641227,10.97659398135127,nur_A
ResearchAssistantMar19X,1,0.298424289008455,8.557182839632397,7.347943823148687,nur_A
ResearchBotXYZ,1,0.29573224721090846,8.638879709672837,7.4205789054108005,nur_A
ResearchHelper,2,0.3857433217189315,6.028205935487884,5.074685295409914,nur_A
ResearchHelperMayEightD,1,0.39553140096618356,7.412160334945205,6.484635235635252,nur_A
SectorAgentOct25OAI,1,0.36951672862453533,7.20414929203594,6.208590026096629,nur_A
SectorAgentSep21OAI,1,0.6422594142259415,6.862757913051401,6.419994928147142,nur_A
Sep22ClothingObserver,1,0.3878954607977992,6.588926477533519,5.641907070938114,nur_A
Sep26ClothingAgent,1,0.4797979797979798,5.288267030694535,4.553876891600541,nur_A
TransportAgentMarNineteen,1,12.156428119062697,7.364547014255642,9.862405107434897,nur_A
TransportHelperDec08OAI,2,13.319771678406607,6.233007374080719,7.321353873322238,nur_A
TransportHelperOct12,1,1.7579318448883667,6.7464121285733745,7.310550158534422,nur_A
