t,at_risk,events,censored,S,S_lo,S_hi
1.6952777777777779,277,1,0,0.4876325088339198,0.4464526394703042,0.5288123781975353
1.7119444444444445,276,1,0,0.48586572438162295,0.44468971388222084,0.527041734881025
1.7177777777777778,275,1,0,0.4840989399293261,0.44292730324659324,0.525270576612059
1.7297222222222222,274,1,0,0.4823321554770293,0.4411654077275568,0.5234989032265018
1.7658333333333334,273,1,0,0.4805653710247325,0.4394040275086603,0.5217267145408047
1.7686111111111111,272,1,0,0.47879858657243574,0.4376431627929003,0.5199540103519712
1.7758333333333334,271,1,0,0.47703180212013896,0.43588281380275906,0.5181807904375189
1.7983333333333333,270,1,0,0.4752650176678422,0.434122980780247,0.5164070545554373
1.8027777777777778,269,1,0,0.47349823321554535,0.43236366398694803,0.5146328024441427
1.8155555555555556,268,1,0,0.4717314487632486,0.43060486370406875,0.5128580338224283
1.8347222222222221,267,1,0,0.46996466431095174,0.4288465802324919,0.5110827483894116
1.8377777777777777,266,1,0,0.4681978798586549,0.42708881389283304,0.5093069458244768
1.8469444444444445,265,1,0,0.4664310954063581,0.42533156502550157,0.5075306257872145
1.8552777777777778,264,1,0,0.46466431095406124,0.4235748339907649,0.5057537879173576
1.8827777777777779,263,1,0,0.4628975265017644,0.4218186211688173,0.5039764318347115
1.9077777777777778,262,1,0,0.46113074204946763,0.4200629269598521,0.5021985571390832
1.9122222222222223,261,1,0,0.4593639575971708,0.41830775178413765,0.500420163410204
1.933888888888889,260,1,0,0.457597173144874,0.41655309608209823,0.4986412502076498
1.9655555555555555,259,1,0,0.4558303886925772,0.41479896031439767,0.4968618170707567
1.9719444444444445,258,1,0,0.45406360424028036,0.41304534496202805,0.49508186351853267
1.9744444444444444,257,1,0,0.4522968197879836,0.41129225052640195,0.4933013890495652
1.985,256,1,0,0.45053003533568675,0.40953967752944875,0.49152039314192475
1.9866666666666666,255,1,0,0.44876325088339,0.40778762651371575,0.4897388752530642
1.9933333333333334,254,1,0,0.44699646643109314,0.40603609804247237,0.4879568348197139
2.006666666666667,253,1,0,0.44522968197879637,0.40428509269982005,0.4861742712577727
2.0169444444444444,252,1,0,0.44346289752649953,0.40253461109080496,0.4843911839621941
2.0180555555555557,251,1,0,0.4416961130742027,0.4007846538415364,0.482607572306869
2.033333333333333,250,1,0,0.43992932862190587,0.39903522159930876,0.48082343564450297
2.0530555555555554,249,1,0,0.43816254416960904,0.3972863150327281,0.47903877330649
2.0733333333333333,248,1,0,0.4363957597173122,0.3955379348318436,0.47725358460278083
2.0841666666666665,247,1,0,0.43462897526501537,0.39379008170828317,0.4754678688217476
2.089166666666667,246,1,0,0.4328621908127186,0.39204275639539427,0.4736816252300429
2.0994444444444444,245,1,0,0.43109540636042176,0.39029595964838854,0.471894853072455
2.1238888888888887,244,1,0,0.429328621908125,0.3885496922444924,0.4701075515717576
2.1275,243,1,0,0.4275618374558282,0.38680395498310144,0.468319719928555
2.158888888888889,242,1,0,0.4257950530035314,0.3850587486859405,0.4665313573211223
2.1605555555555553,241,1,0,0.4240282685512346,0.3833140741972283,0.4647424629052409
