praediktor,praediktor_name,teilmenge,variante,binaer,modell,effekt,ci_lo,ci_hi,p,se,n,n_fam,n_fam_true,n_true,n_boot_valid,grund,exakt,n_perm,mean_true,mean_false,q_bh
blob_ausbruch_b,Blob egress,alle,eine_je_familie_datum(identisch),True,OLS_std_FE_cluster,,,,,,510,21.0,1.0,,,Cluster-SE degeneriert: behandelte Kohorten in 1 Familie,,,,,
blob_ausbruch_b,Blob egress,alle,eine_je_familie_datum(identisch),True,rankbiserial_boot,-0.2490574406742071,-0.6548512496449872,0.22062665343915308,0.18594962367078827,,510,,,9.0,2000.0,,,,,,0.32541184142387947
blob_ausbruch_b,Blob egress,alle,eine_je_familie_datum(identisch),True,rankbiserial_clusterboot,-0.2490574406742071,-0.3550328214393256,-0.08445275354290731,0.18594962367078827,,510,,,9.0,1265.0,,,,,,0.32541184142387947
beobachtung_auf_fremder_seite_b,Observation on foreign page,alle,eine_je_familie_datum(identisch),True,OLS_std_FE_HC1,0.005648033110596301,-0.16202518084869197,0.17332124706988458,0.947361162272909,0.08554913012783562,510,21.0,31.0,,,,,,,,0.947361162272909
beobachtung_auf_fremder_seite_b,Observation on foreign page,alle,eine_je_familie_datum(identisch),True,OLS_std_FE_cluster,0.005648033110596301,-0.10813720699296682,0.11943327321415943,0.9224976641825534,0.05805476070024071,510,21.0,31.0,,,,,,,,0.9224976641825534
beobachtung_auf_fremder_seite_b,Observation on foreign page,alle,eine_je_familie_datum(identisch),True,rankbiserial_boot,0.12002028103723017,0.017427233208268052,0.22002237367659452,0.025596899010284106,,510,,,354.0,2000.0,,,,,,0.124312743049384
beobachtung_auf_fremder_seite_b,Observation on foreign page,alle,eine_je_familie_datum(identisch),True,rankbiserial_clusterboot,0.12002028103723017,-0.05629568152057025,0.23386604393684612,0.025596899010284106,,510,,,354.0,2000.0,,,,,,0.124312743049384
bitten_quote,Request rate,alle,eine_je_familie_datum(identisch),False,OLS_std_FE_HC1,-0.09633292510192167,-0.17279857650553004,-0.019867273698313273,0.013541512800194744,0.03901380433863055,510,21.0,35.0,,,,,,,,0.16249815360233694
bitten_quote,Request rate,alle,eine_je_familie_datum(identisch),False,OLS_std_FE_cluster,-0.09633292510192167,-0.19035220906851275,-0.002313641135330599,0.04462256536774461,0.04796990389017512,510,21.0,35.0,,,,,,,,0.1636160730150636
bitten_quote,Request rate,alle,eine_je_familie_datum(identisch),False,spearman,-0.13762571035476795,-0.22180270239680508,-0.05141260923418127,0.0018379787280673999,,510,,,,,,,,,,0.004594946820168499
