ip16,n_revisions,pct,n_labels,rdap_name,is_microsoft,range,anbieter
netz-69f4dc6a,2,0.014,1,,False,,sonstige
20.1,2,0.014,2,MSFT,True,20.0.0.0-20.31.255.255,Microsoft
104.22,1,0.007,1,CLOUDFLARENET,False,104.16.0.0-104.31.255.255,Cloudflare
netz-186d452d,1,0.007,1,,False,,sonstige
172.7,1,0.007,1,CLOUDFLARENET,False,172.64.0.0-172.71.255.255,Cloudflare
162.159,1,0.007,1,CLOUDFLARENET,False,162.158.0.0-162.159.255.255,Cloudflare
netz-83484b82,1,0.007,1,,False,,sonstige
167.172,1,0.007,1,DigitalOcean,False,167.172.0.0-167.172.255.255,DigitalOcean
netz-6c50880b,1,0.007,1,,False,,sonstige
netz-5fd5ba41,1,0.007,1,,False,,sonstige
167.71,1,0.007,1,DIGITALOCEAN-167-71-0-0,False,167.71.0.0-167.71.255.255,DigitalOcean
netz-597fd99c,1,0.007,1,,False,,sonstige
netz-2c89611a,1,0.007,1,,False,,sonstige
18.139,1,0.007,1,AMAZON-SIN,False,18.138.0.0-18.139.255.255,Amazon AWS
64.225,1,0.007,1,DIGITALOCEAN-64-225-0-0,False,64.225.0.0-64.225.127.255,DigitalOcean
netz-d573ef3e,1,0.007,1,,False,,sonstige
172.69,1,0.007,1,CLOUDFLARENET,False,172.64.0.0-172.71.255.255,Cloudflare
20.75,1,0.007,1,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
netz-bcee48b1,1,0.007,1,,False,,sonstige
162.243,1,0.007,1,DIGITALOCEAN-162-243-0-0,False,162.243.0.0-162.243.255.255,DigitalOcean
52.179,1,0.007,1,MSFT,True,52.145.0.0-52.191.255.255,Microsoft
netz-886e7559,1,0.007,1,,False,,sonstige
